"","tokenName","tokenSymbol","daosTotalUsdValue","numDaos"
"","PieDAO DOUGH v2","DOUGH","70767549.9992768","1"
"","Meta","MTA","38117130.29374729","1"
"","Ethereum","ETH","19079963.268997293","50"
"","Aragon","ANT","13046337.22272402","15"
"","Robonomics","XRT","12010359.860098613","1"
"","Wrapped Ether","WETH","11503744.438906135","18"
"","USD Coin","USDC","5705277.897086745","20"
"","Dai Stablecoin","DAI","5689677.31241908","51"
"","DXdao","DXD","3782664.282005384","1"
"","DMM: Governance","DMG","1240199.2588888875","1"
"","Decentraland","MANA","1216916.5532198763","4"
"","Aragon Network Juror","ANJ","1096595.8273968045","4"
"","Robonomics Web Services :: V1","RWS","1065453.515773169","1"
"","Tether USD","USDT","1020240.3004721163","8"
"","Balancer","BAL","297556.9070206554","6"
"","STAKE","STAKE","211477.9826392536","2"
"","CurToken","CUR","129214.66641478338","1"
"","pNetwork Token","PNT","121437.18378149165","1"
"","Pinakion","PNK","52858.05690853","1"
"","DAOstack","GEN","40542.744182321316","9"
"","MachiX Token","MCX","28408.335124659847","1"
"","yearn.finance","YFI","20870.205081170086","2"
"","Maker","MKR","18194.822005514747","4"
"","Sai Stablecoin v1.0","SAI","15013.639961206723","21"
"","Balancer Pool Token","BPT","8496.50758556081","5"
"","Panvala pan","PAN","8222.593932520944","11"
"","DeFi Omega","DFIO","7467.6138190989695","1"
"","Askobar Network","ASKO","7433.92833013673","1"
"","Compound","COMP","6988.9763633787115","3"
"","SNGLS","SNGLS","6250.2842381","1"
"","OWL Token","OWL","2598.0457330965","1"
"","Uniswap","UNI","1867.569573687917","4"
"","UMA Voting Token v1","UMA","1121.2868333663216","2"
"","Ethfinex Nectar Token","NEC","1000.1843259660386","1"
"","DATAcoin","DATA","861.8543991911567","2"
"","KyberNetwork","KNC","565.5258968274277","2"
"","Tellor Tributes","TRB","505.7208418553625","1"
"","BerezkaFLEX","FLEX","439.49685000000096","1"
"","ETH RSI 60/40 Yield","ETHRSIAPY","344.80034000000006","1"
"","snglsDAO Governance Token","SGT","215.4185044712801","1"
"","Pundi X Token","NPXS","189.7440298251527","2"
"","Reputation","REP","157.7199922256928","2"
"","StatusNetwork","SNT","148.1573061301649","1"
"","Wrapped BTC","WBTC","45.67408132005155","3"
"","SushiToken","SUSHI","8.784965083206306","2"
"","ZRX","ZRX","2.51360424113184","4"
"","Livepeer Token","LPT","2.4715699037122","1"
"","PieDAO DEFI Small Cap","DEFI+S","1.88987672013252","1"
"","DAOfundToken","DFT","1.106673091215","2"
"","Ultiledger","ULT","0.8263925236002","1"